otu_id	seq_id
Otu001	M00967_43_000000000-A3JHG_1_1111_20933_6700
Otu001	M00967_43_000000000-A3JHG_1_1113_17095_9759
Otu001	M00967_43_000000000-A3JHG_1_1114_22144_24942
Otu001	M00967_43_000000000-A3JHG_1_1112_5981_8948
Otu001	M00967_43_000000000-A3JHG_1_2106_5509_18056
Otu001	M00967_43_000000000-A3JHG_1_1112_18411_17052
Otu001	M00967_43_000000000-A3JHG_1_1101_20262_22075
Otu001	M00967_43_000000000-A3JHG_1_1114_13556_18457
Otu001	M00967_43_000000000-A3JHG_1_2114_12634_10967
Otu001	M00967_43_000000000-A3JHG_1_1102_18640_14309
Otu001	M00967_43_000000000-A3JHG_1_1108_5894_23389
Otu001	M00967_43_000000000-A3JHG_1_2101_13320_3436
Otu001	M00967_43_000000000-A3JHG_1_1109_7996_16802
Otu001	M00967_43_000000000-A3JHG_1_2101_4159_12177
Otu001	M00967_43_000000000-A3JHG_1_1101_12302_23776
Otu001	M00967_43_000000000-A3JHG_1_1113_28928_16770
Otu001	M00967_43_000000000-A3JHG_1_1102_20738_4913
Otu001	M00967_43_000000000-A3JHG_1_1114_21515_19829
Otu001	M00967_43_000000000-A3JHG_1_2106_8030_23327
Otu001	M00967_43_000000000-A3JHG_1_1102_6774_6343
Otu001	M00967_43_000000000-A3JHG_1_1111_24289_9499
Otu001	M00967_43_000000000-A3JHG_1_2101_7036_14239
Otu001	M00967_43_000000000-A3JHG_1_1111_4823_22009
Otu001	M00967_43_000000000-A3JHG_1_1105_16224_23592
Otu001	M00967_43_000000000-A3JHG_1_1114_15498_19369
Otu001	M00967_43_000000000-A3JHG_1_1114_13397_2211
Otu001	M00967_43_000000000-A3JHG_1_1110_16292_27414
Otu001	M00967_43_000000000-A3JHG_1_1107_13116_15821
Otu001	M00967_43_000000000-A3JHG_1_2108_7751_22068
Otu001	M00967_43_000000000-A3JHG_1_1113_15967_2074
Otu001	M00967_43_000000000-A3JHG_1_2101_25710_23156
Otu001	M00967_43_000000000-A3JHG_1_1111_10939_17099
Otu001	M00967_43_000000000-A3JHG_1_1112_12844_3769
Otu001	M00967_43_000000000-A3JHG_1_2101_26453_14067
Otu001	M00967_43_000000000-A3JHG_1_2106_18324_28644
Otu001	M00967_43_000000000-A3JHG_1_2114_4499_18914
Otu001	M00967_43_000000000-A3JHG_1_1112_6862_18037
Otu001	M00967_43_000000000-A3JHG_1_1108_22866_20909
Otu001	M00967_43_000000000-A3JHG_1_2113_29656_14155
Otu001	M00967_43_000000000-A3JHG_1_2101_4780_15092
Otu001	M00967_43_000000000-A3JHG_1_1103_8361_9953
