bin_names	abundances	samples	treatments
Otu001	499	F3D0	Early
Otu001	351	F3D1	Early
Otu001	388	F3D141	Late
Otu001	244	F3D142	Late
Otu001	189	F3D143	Late
Otu001	346	F3D144	Late
Otu001	566	F3D145	Late
Otu001	270	F3D146	Late
Otu001	1316	F3D147	Late
Otu001	750	F3D148	Late
Otu001	770	F3D149	Late
Otu001	265	F3D150	Late
Otu001	3076	F3D2	Early
Otu001	831	F3D3	Early
Otu001	278	F3D5	Early
Otu001	902	F3D6	Early
Otu001	576	F3D7	Early
Otu001	236	F3D8	Early
Otu001	435	F3D9	Early
Otu002	306	F3D0	Early
Otu002	311	F3D1	Early
Otu002	335	F3D141	Late
Otu002	258	F3D142	Late
Otu002	152	F3D143	Late
Otu002	243	F3D144	Late
Otu002	445	F3D145	Late
Otu002	204	F3D146	Late
Otu002	1107	F3D147	Late
Otu002	666	F3D148	Late
Otu002	701	F3D149	Late
Otu002	207	F3D150	Late
Otu002	1439	F3D2	Early
Otu002	543	F3D3	Early
Otu002	235	F3D5	Early
Otu002	608	F3D6	Early
Otu002	449	F3D7	Early
Otu002	309	F3D8	Early
Otu002	374	F3D9	Early
Otu003	394	F3D0	Early
Otu003	189	F3D1	Early
Otu003	301	F3D141	Late
Otu003	142	F3D142	Late
Otu003	173	F3D143	Late
Otu003	260	F3D144	Late
Otu003	461	F3D145	Late
Otu003	225	F3D146	Late
Otu003	819	F3D147	Late
Otu003	520	F3D148	Late
Otu003	650	F3D149	Late
Otu003	343	F3D150	Late
Otu003	1065	F3D2	Early
Otu003	400	F3D3	Early
Otu003	236	F3D5	Early
Otu003	507	F3D6	Early
Otu003	385	F3D7	Early
Otu003	295	F3D8	Early
Otu003	429	F3D9	Early
Otu004	403	F3D0	Early
Otu004	64	F3D1	Early
Otu004	482	F3D141	Late
Otu004	152	F3D142	Late
Otu004	207	F3D143	Late
Otu004	316	F3D144	Late
Otu004	527	F3D145	Late
Otu004	368	F3D146	Late
Otu004	1052	F3D147	Late
Otu004	830	F3D148	Late
Otu004	861	F3D149	Late
Otu004	436	F3D150	Late
Otu004	451	F3D2	Early
Otu004	187	F3D3	Early
Otu004	148	F3D5	Early
Otu004	381	F3D6	Early
Otu004	294	F3D7	Early
Otu004	128	F3D8	Early
Otu004	189	F3D9	Early
Otu005	632	F3D0	Early
Otu005	73	F3D1	Early
Otu005	425	F3D141	Late
Otu005	253	F3D142	Late
Otu005	308	F3D143	Late
Otu005	469	F3D144	Late
Otu005	665	F3D145	Late
Otu005	397	F3D146	Late
Otu005	1619	F3D147	Late
Otu005	1230	F3D148	Late
Otu005	879	F3D149	Late
Otu005	281	F3D150	Late
Otu005	148	F3D2	Early
Otu005	23	F3D3	Early
Otu005	20	F3D5	Early
Otu005	12	F3D6	Early
Otu005	9	F3D7	Early
Otu005	2	F3D8	Early
Otu005	5	F3D9	Early
Otu006	356	F3D0	Early
Otu006	117	F3D1	Early
Otu006	279	F3D141	Late
Otu006	193	F3D142	Late
Otu006	183	F3D143	Late
Otu006	282	F3D144	Late
Otu006	471	F3D145	Late
Otu006	257	F3D146	Late
Otu006	1051	F3D147	Late
Otu006	725	F3D148	Late
Otu006	651	F3D149	Late
Otu006	276	F3D150	Late
Otu006	410	F3D2	Early
Otu006	213	F3D3	Early
Otu006	137	F3D5	Early
Otu006	356	F3D6	Early
Otu006	235	F3D7	Early
Otu006	174	F3D8	Early
Otu006	255	F3D9	Early
Otu007	168	F3D0	Early
Otu007	127	F3D1	Early
Otu007	206	F3D141	Late
Otu007	201	F3D142	Late
Otu007	116	F3D143	Late
Otu007	132	F3D144	Late
Otu007	362	F3D145	Late
Otu007	193	F3D146	Late
Otu007	545	F3D147	Late
Otu007	499	F3D148	Late
Otu007	454	F3D149	Late
Otu007	182	F3D150	Late
Otu007	354	F3D2	Early
Otu007	448	F3D3	Early
Otu007	142	F3D5	Early
Otu007	501	F3D6	Early
Otu007	517	F3D7	Early
Otu007	547	F3D8	Early
Otu007	610	F3D9	Early
Otu008	164	F3D0	Early
Otu008	174	F3D1	Early
Otu008	331	F3D141	Late
Otu008	81	F3D142	Late
Otu008	92	F3D143	Late
Otu008	36	F3D144	Late
Otu008	127	F3D145	Late
Otu008	66	F3D146	Late
Otu008	89	F3D147	Late
Otu008	542	F3D148	Late
Otu008	542	F3D149	Late
Otu008	110	F3D150	Late
Otu008	1222	F3D2	Early
Otu008	398	F3D3	Early
Otu008	193	F3D5	Early
Otu008	250	F3D6	Early
Otu008	223	F3D7	Early
Otu008	278	F3D8	Early
Otu008	419	F3D9	Early
Otu009	136	F3D0	Early
Otu009	83	F3D1	Early
Otu009	119	F3D141	Late
Otu009	72	F3D142	Late
Otu009	62	F3D143	Late
Otu009	140	F3D144	Late
Otu009	217	F3D145	Late
Otu009	78	F3D146	Late
Otu009	240	F3D147	Late
Otu009	186	F3D148	Late
Otu009	257	F3D149	Late
Otu009	132	F3D150	Late
Otu009	572	F3D2	Early
Otu009	268	F3D3	Early
Otu009	191	F3D5	Early
Otu009	218	F3D6	Early
Otu009	251	F3D7	Early
Otu009	181	F3D8	Early
Otu009	203	F3D9	Early
Otu010	19	F3D0	Early
Otu010	111	F3D1	Early
Otu010	175	F3D141	Late
Otu010	43	F3D142	Late
Otu010	76	F3D143	Late
Otu010	256	F3D144	Late
Otu010	319	F3D145	Late
Otu010	185	F3D146	Late
Otu010	498	F3D147	Late
Otu010	419	F3D148	Late
Otu010	497	F3D149	Late
Otu010	57	F3D150	Late
Otu010	60	F3D2	Early
Otu010	175	F3D3	Early
Otu010	67	F3D5	Early
Otu010	48	F3D6	Early
Otu010	13	F3D7	Early
Otu010	15	F3D8	Early
Otu010	28	F3D9	Early
Otu011	27	F3D0	Early
Otu011	53	F3D1	Early
Otu011	111	F3D141	Late
Otu011	51	F3D142	Late
Otu011	70	F3D143	Late
Otu011	96	F3D144	Late
Otu011	131	F3D145	Late
Otu011	80	F3D146	Late
Otu011	526	F3D147	Late
Otu011	283	F3D148	Late
Otu011	290	F3D149	Late
Otu011	161	F3D150	Late
Otu011	306	F3D2	Early
Otu011	221	F3D3	Early
Otu011	115	F3D5	Early
Otu011	128	F3D6	Early
Otu011	117	F3D7	Early
Otu011	74	F3D8	Early
Otu011	97	F3D9	Early
Otu012	110	F3D0	Early
Otu012	35	F3D1	Early
Otu012	101	F3D141	Late
Otu012	81	F3D142	Late
Otu012	43	F3D143	Late
Otu012	84	F3D144	Late
Otu012	188	F3D145	Late
Otu012	71	F3D146	Late
Otu012	476	F3D147	Late
Otu012	239	F3D148	Late
Otu012	159	F3D149	Late
Otu012	71	F3D150	Late
Otu012	143	F3D2	Early
Otu012	65	F3D3	Early
Otu012	66	F3D5	Early
Otu012	59	F3D6	Early
Otu012	43	F3D7	Early
Otu012	18	F3D8	Early
Otu012	22	F3D9	Early
Otu013	52	F3D0	Early
Otu013	115	F3D1	Early
Otu013	8	F3D141	Late
Otu013	96	F3D142	Late
Otu013	37	F3D143	Late
Otu013	13	F3D144	Late
Otu013	18	F3D145	Late
Otu013	4	F3D146	Late
Otu013	135	F3D147	Late
Otu013	17	F3D148	Late
Otu013	74	F3D149	Late
Otu013	55	F3D150	Late
Otu013	308	F3D2	Early
Otu013	84	F3D3	Early
Otu013	45	F3D5	Early
Otu013	392	F3D6	Early
Otu013	106	F3D7	Early
Otu013	129	F3D8	Early
Otu013	166	F3D9	Early
Otu014	104	F3D0	Early
Otu014	252	F3D1	Early
Otu014	13	F3D141	Late
Otu014	6	F3D142	Late
Otu014	2	F3D143	Late
Otu014	7	F3D144	Late
Otu014	8	F3D145	Late
Otu014	39	F3D146	Late
Otu014	22	F3D147	Late
Otu014	47	F3D148	Late
Otu014	39	F3D149	Late
Otu014	19	F3D150	Late
Otu014	550	F3D2	Early
Otu014	16	F3D3	Early
Otu014	83	F3D5	Early
Otu014	72	F3D6	Early
Otu014	25	F3D7	Early
Otu014	50	F3D8	Early
Otu014	98	F3D9	Early
Otu015	84	F3D0	Early
Otu015	287	F3D1	Early
Otu015	28	F3D141	Late
Otu015	8	F3D142	Late
Otu015	7	F3D143	Late
Otu015	10	F3D144	Late
Otu015	14	F3D145	Late
Otu015	22	F3D146	Late
Otu015	70	F3D147	Late
Otu015	43	F3D148	Late
Otu015	37	F3D149	Late
Otu015	18	F3D150	Late
Otu015	337	F3D2	Early
Otu015	47	F3D3	Early
Otu015	78	F3D5	Early
Otu015	54	F3D6	Early
Otu015	35	F3D7	Early
Otu015	43	F3D8	Early
Otu015	94	F3D9	Early
Otu016	78	F3D0	Early
Otu016	96	F3D141	Late
Otu016	45	F3D142	Late
Otu016	36	F3D143	Late
Otu016	100	F3D144	Late
Otu016	107	F3D145	Late
Otu016	35	F3D146	Late
Otu016	277	F3D147	Late
Otu016	248	F3D148	Late
Otu016	163	F3D149	Late
