names	abundances	samples	treatments
M00967_43_000000000-A3JHG_1_2101_16474_12783	1	F3D150	Late
M00967_43_000000000-A3JHG_1_1113_12711_3318	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2108_14707_9807	1	F3D3	Early
M00967_43_000000000-A3JHG_1_1110_4126_16552	1	F3D8	Early
M00967_43_000000000-A3JHG_1_2102_8408_13436	1	F3D7	Early
M00967_43_000000000-A3JHG_1_1107_22580_21773	1	F3D3	Early
M00967_43_000000000-A3JHG_1_1108_14299_17220	22	F3D146	Late
M00967_43_000000000-A3JHG_1_1108_14299_17220	19	F3D147	Late
M00967_43_000000000-A3JHG_1_1108_14299_17220	12	F3D148	Late
M00967_43_000000000-A3JHG_1_1108_14299_17220	9	F3D149	Late
M00967_43_000000000-A3JHG_1_1108_14299_17220	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1108_14299_17220	17	F3D5	Early
M00967_43_000000000-A3JHG_1_1108_14299_17220	6	F3D7	Early
M00967_43_000000000-A3JHG_1_1108_14299_17220	42	F3D8	Early
M00967_43_000000000-A3JHG_1_1108_14299_17220	63	F3D9	Early
M00967_43_000000000-A3JHG_1_1114_8059_18290	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2112_9811_9982	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2103_25452_6018	1	F3D0	Early
M00967_43_000000000-A3JHG_1_1112_9624_20695	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2112_11899_4014	1	F3D144	Late
M00967_43_000000000-A3JHG_1_2112_11899_4014	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2112_11899_4014	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2112_11899_4014	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2112_11899_4014	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1111_20933_6700	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1106_22705_6123	2	F3D9	Early
M00967_43_000000000-A3JHG_1_2112_28271_11256	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2108_10549_22228	1	F3D9	Early
M00967_43_000000000-A3JHG_1_1114_17730_26068	1	F3D146	Late
M00967_43_000000000-A3JHG_1_1101_15533_5293	2	F3D141	Late
M00967_43_000000000-A3JHG_1_1101_15533_5293	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1101_15533_5293	3	F3D146	Late
M00967_43_000000000-A3JHG_1_1101_15533_5293	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1107_5337_17921	1	F3D144	Late
M00967_43_000000000-A3JHG_1_2107_18354_8608	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1101_16390_9529	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1111_17201_27600	1	F3D141	Late
M00967_43_000000000-A3JHG_1_2102_8893_14291	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1113_17095_9759	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1114_24088_5500	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2112_25145_5016	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2107_5816_12823	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2107_5816_12823	3	F3D147	Late
M00967_43_000000000-A3JHG_1_2109_17577_12359	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2113_28097_13665	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1113_14224_15638	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2104_26311_14104	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2104_26311_14104	1	F3D7	Early
M00967_43_000000000-A3JHG_1_1114_22144_24942	4	F3D148	Late
M00967_43_000000000-A3JHG_1_1106_17965_25181	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1103_14435_10999	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2102_22092_15614	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2110_10506_11014	1	F3D143	Late
M00967_43_000000000-A3JHG_1_1112_22736_6885	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2110_8189_7507	1	F3D142	Late
M00967_43_000000000-A3JHG_1_2101_23950_13306	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1105_25642_17588	4	F3D1	Early
M00967_43_000000000-A3JHG_1_1105_25642_17588	3	F3D146	Late
M00967_43_000000000-A3JHG_1_1105_25642_17588	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1110_23003_13541	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1112_8674_21438	1	F3D144	Late
M00967_43_000000000-A3JHG_1_2109_21370_14363	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2105_16818_5464	1	F3D2	Early
M00967_43_000000000-A3JHG_1_1112_27485_13416	1	F3D146	Late
M00967_43_000000000-A3JHG_1_1112_27485_13416	1	F3D147	Late
M00967_43_000000000-A3JHG_1_1112_27485_13416	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1112_27485_13416	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2102_7041_13746	1	F3D1	Early
M00967_43_000000000-A3JHG_1_2102_7041_13746	1	F3D141	Late
M00967_43_000000000-A3JHG_1_2102_7041_13746	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2102_7041_13746	2	F3D146	Late
M00967_43_000000000-A3JHG_1_2102_7041_13746	3	F3D147	Late
M00967_43_000000000-A3JHG_1_2102_7041_13746	1	F3D148	Late
M00967_43_000000000-A3JHG_1_2102_7041_13746	2	F3D149	Late
M00967_43_000000000-A3JHG_1_2102_7041_13746	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2102_7041_13746	2	F3D2	Early
M00967_43_000000000-A3JHG_1_2102_7041_13746	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2102_7041_13746	1	F3D6	Early
M00967_43_000000000-A3JHG_1_2102_7041_13746	1	F3D7	Early
M00967_43_000000000-A3JHG_1_2102_7041_13746	3	F3D9	Early
M00967_43_000000000-A3JHG_1_1102_17902_26485	1	F3D150	Late
M00967_43_000000000-A3JHG_1_1110_21383_22868	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2108_16172_11937	1	F3D148	Late
M00967_43_000000000-A3JHG_1_1106_17565_8490	1	F3D144	Late
M00967_43_000000000-A3JHG_1_1106_17565_8490	1	F3D149	Late
M00967_43_000000000-A3JHG_1_1106_17565_8490	2	F3D6	Early
M00967_43_000000000-A3JHG_1_1106_17565_8490	3	F3D8	Early
M00967_43_000000000-A3JHG_1_1106_17565_8490	2	F3D9	Early
M00967_43_000000000-A3JHG_1_1107_7612_7844	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1107_7612_7844	1	F3D150	Late
M00967_43_000000000-A3JHG_1_1107_7612_7844	1	F3D7	Early
M00967_43_000000000-A3JHG_1_2113_27299_8066	1	F3D144	Late
M00967_43_000000000-A3JHG_1_2108_18366_21641	1	F3D142	Late
M00967_43_000000000-A3JHG_1_1109_13330_21597	31	F3D0	Early
M00967_43_000000000-A3JHG_1_1109_13330_21597	9	F3D1	Early
M00967_43_000000000-A3JHG_1_1109_13330_21597	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1109_13330_21597	3	F3D148	Late
M00967_43_000000000-A3JHG_1_1109_13330_21597	2	F3D149	Late
