bin_names	sequence_names
Otu001	M00967_43_000000000-A3JHG_1_1108_14299_17220
Otu002	M00967_43_000000000-A3JHG_1_1106_22705_6123
Otu003	M00967_43_000000000-A3JHG_1_1101_15533_5293
Otu004	M00967_43_000000000-A3JHG_1_1105_25642_17588
Otu005	M00967_43_000000000-A3JHG_1_2102_7041_13746
Otu006	M00967_43_000000000-A3JHG_1_1106_17565_8490
Otu007	M00967_43_000000000-A3JHG_1_1109_13330_21597
Otu008	M00967_43_000000000-A3JHG_1_1110_5315_13833
Otu009	M00967_43_000000000-A3JHG_1_2109_27297_13184
Otu010	M00967_43_000000000-A3JHG_1_1101_9620_19745
Otu011	M00967_43_000000000-A3JHG_1_2108_22087_14118
Otu012	M00967_43_000000000-A3JHG_1_1101_10133_8460
Otu013	M00967_43_000000000-A3JHG_1_1114_25962_10907
Otu014	M00967_43_000000000-A3JHG_1_1106_22826_4799
Otu015	M00967_43_000000000-A3JHG_1_2101_7254_13419
Otu016	M00967_43_000000000-A3JHG_1_1109_24068_9219
Otu017	M00967_43_000000000-A3JHG_1_2109_20085_20830
Otu018	M00967_43_000000000-A3JHG_1_1103_10837_19652
Otu019	M00967_43_000000000-A3JHG_1_2114_18555_17761
Otu020	M00967_43_000000000-A3JHG_1_2114_24274_20575
Otu021	M00967_43_000000000-A3JHG_1_1109_19691_19130
Otu022	M00967_43_000000000-A3JHG_1_2104_20685_7431
Otu023	M00967_43_000000000-A3JHG_1_1113_11760_14772
Otu024	M00967_43_000000000-A3JHG_1_1103_22959_4225
Otu025	M00967_43_000000000-A3JHG_1_1112_21256_12063
Otu026	M00967_43_000000000-A3JHG_1_1113_25500_12155
Otu027	M00967_43_000000000-A3JHG_1_2105_6844_12008
Otu028	M00967_43_000000000-A3JHG_1_2104_14864_25191
Otu029	M00967_43_000000000-A3JHG_1_2104_17991_24804
Otu030	M00967_43_000000000-A3JHG_1_1106_22389_22397
Otu031	M00967_43_000000000-A3JHG_1_2110_9142_17889
Otu032	M00967_43_000000000-A3JHG_1_1112_16577_22524
Otu033	M00967_43_000000000-A3JHG_1_2108_21552_11279
Otu034	M00967_43_000000000-A3JHG_1_2108_27613_12769
Otu035	M00967_43_000000000-A3JHG_1_2106_12340_14438
Otu036	M00967_43_000000000-A3JHG_1_1106_14252_8640
Otu037	M00967_43_000000000-A3JHG_1_2105_7943_8043
Otu038	M00967_43_000000000-A3JHG_1_2103_10155_24625
Otu039	M00967_43_000000000-A3JHG_1_1112_14780_8078
Otu040	M00967_43_000000000-A3JHG_1_2102_19287_23968
Otu041	M00967_43_000000000-A3JHG_1_1107_18879_6171
Otu042	M00967_43_000000000-A3JHG_1_2109_18443_5251
Otu043	M00967_43_000000000-A3JHG_1_1110_28012_17813
Otu044	M00967_43_000000000-A3JHG_1_1103_7049_5487
Otu045	M00967_43_000000000-A3JHG_1_2109_18300_12673
Otu046	M00967_43_000000000-A3JHG_1_1113_13777_28036
Otu047	M00967_43_000000000-A3JHG_1_2106_11005_4817
Otu048	M00967_43_000000000-A3JHG_1_1105_27806_20120
Otu049	M00967_43_000000000-A3JHG_1_2106_23199_7043
Otu050	M00967_43_000000000-A3JHG_1_1104_23895_17769
Otu051	M00967_43_000000000-A3JHG_1_1106_24036_10250
Otu052	M00967_43_000000000-A3JHG_1_1104_5274_12644
Otu053	M00967_43_000000000-A3JHG_1_2105_21901_10432
Otu054	M00967_43_000000000-A3JHG_1_2113_13133_16013
Otu055	M00967_43_000000000-A3JHG_1_2112_21752_23067
Otu056	M00967_43_000000000-A3JHG_1_1102_11158_17229
Otu057	M00967_43_000000000-A3JHG_1_1107_24854_21229
Otu058	M00967_43_000000000-A3JHG_1_2114_10056_13609
Otu059	M00967_43_000000000-A3JHG_1_2105_10725_6078
